library,category,compile_failures,percentage
aopalliance:aopalliance:1.0,abstract_class_or_interface_instantiation,1,33.33
aopalliance:aopalliance:1.0,cannot_find_symbol,1,33.33
aopalliance:aopalliance:1.0,other_compile_error,1,33.33
com.github.lalyos:jfiglet:0.0.8,constructor_mismatch,1,100.00
commons-cli:commons-cli:1.2,cannot_find_symbol,1,16.67
commons-cli:commons-cli:1.2,generic_type_mismatch,1,16.67
commons-cli:commons-cli:1.2,structure_error,1,16.67
commons-cli:commons-cli:1.2,unchecked_exception_not_handled,3,50.00
commons-fileupload:commons-fileupload:1.4,cannot_find_symbol,6,50.00
commons-fileupload:commons-fileupload:1.4,method_signature_mismatch,1,8.33
commons-fileupload:commons-fileupload:1.4,other_compile_error,3,25.00
commons-fileupload:commons-fileupload:1.4,structure_error,2,16.67
commons-logging:commons-logging:1.2,cannot_find_symbol,5,71.43
commons-logging:commons-logging:1.2,structure_error,2,28.57
commons-pool:commons-pool:1.6,access_modifier_error,2,18.18
commons-pool:commons-pool:1.6,other_compile_error,3,27.27
commons-pool:commons-pool:1.6,structure_error,6,54.55
io.grpc:grpc-protobuf:1.62.2,missing_import,1,100.00
io.jsonwebtoken:jjwt-jackson:0.11.2,constructor_mismatch,1,50.00
io.jsonwebtoken:jjwt-jackson:0.11.2,generic_type_mismatch,1,50.00
io.prometheus:simpleclient:0.16.0,abstract_class_or_interface_instantiation,1,7.69
io.prometheus:simpleclient:0.16.0,access_modifier_error,3,23.08
io.prometheus:simpleclient:0.16.0,cannot_find_symbol,8,61.54
io.prometheus:simpleclient:0.16.0,method_signature_mismatch,1,7.69
io.swagger.core.v3:swagger-annotations:2.2.8,access_modifier_error,3,75.00
io.swagger.core.v3:swagger-annotations:2.2.8,cannot_find_symbol,1,25.00
jakarta.transaction:jakarta.transaction-api:2.0.1,cannot_find_symbol,1,100.00
org.apache.commons:commons-csv:1.8,cannot_find_symbol,1,16.67
org.apache.commons:commons-csv:1.8,generic_type_mismatch,1,16.67
org.apache.commons:commons-csv:1.8,method_signature_mismatch,1,16.67
org.apache.commons:commons-csv:1.8,structure_error,1,16.67
org.apache.commons:commons-csv:1.8,unchecked_exception_not_handled,2,33.33
org.apache.logging.log4j:log4j-to-slf4j:2.17.2,cannot_find_symbol,4,100.00
org.checkerframework:checker-qual:3.12.0,access_modifier_error,1,50.00
org.checkerframework:checker-qual:3.12.0,cannot_find_symbol,1,50.00
org.hjson:hjson:3.0.0,abstract_class_or_interface_instantiation,1,16.67
org.hjson:hjson:3.0.0,access_modifier_error,2,33.33
org.hjson:hjson:3.0.0,cannot_find_symbol,1,16.67
org.hjson:hjson:3.0.0,other_compile_error,1,16.67
org.hjson:hjson:3.0.0,structure_error,1,16.67
org.json:json:20250517,access_modifier_error,4,36.36
org.json:json:20250517,cannot_find_symbol,1,9.09
org.json:json:20250517,generic_type_mismatch,1,9.09
org.json:json:20250517,method_signature_mismatch,1,9.09
org.json:json:20250517,other_compile_error,1,9.09
org.json:json:20250517,structure_error,3,27.27
org.osgi:org.osgi.service.component.annotations:1.3.0,access_modifier_error,4,80.00
org.osgi:org.osgi.service.component.annotations:1.3.0,other_compile_error,1,20.00
org.osgi:org.osgi.service.component:1.5.1,access_modifier_error,1,100.00
org.skyscreamer:jsonassert:2.0-rc1,cannot_find_symbol,3,30.00
org.skyscreamer:jsonassert:2.0-rc1,constructor_mismatch,1,10.00
org.skyscreamer:jsonassert:2.0-rc1,method_signature_mismatch,3,30.00
org.skyscreamer:jsonassert:2.0-rc1,missing_import,2,20.00
org.skyscreamer:jsonassert:2.0-rc1,structure_error,1,10.00
org.slf4j:log4j-over-slf4j:2.0.16,access_modifier_error,1,7.14
org.slf4j:log4j-over-slf4j:2.0.16,cannot_find_symbol,9,64.29
org.slf4j:log4j-over-slf4j:2.0.16,generic_type_mismatch,1,7.14
org.slf4j:log4j-over-slf4j:2.0.16,method_signature_mismatch,2,14.29
org.slf4j:log4j-over-slf4j:2.0.16,other_compile_error,1,7.14
